subject,body,sender,label
Payment of INR 100.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 100.00 towards AAKASH KUMAR AGRAHARI through the Kotak811 App. More",no-reply@kotak.com,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: ICICI Credit card Card: **** Total due: ₹4339.85 Minimum due: ₹ Due date:",no-reply@kotak.com,EXPENSE
Credit Transaction Alert,"If you do not wish to receive such e-mail communication in the future, Click here Dear SHIVAM CHAUDHRY, Greetings from SBM Bank India! Your account XX7278 is credited with INR 0.00 on 01-03-2026. Info:",info@sbmbank.co.in,EXPENSE
Ticket Resolved - Payment Related,"Dear Shivamap20, Our Support Rep has indicated that your ticket has been Resolved. If you believe that the ticket has not been resolved, please reply to this email to automatically reopen the ticket.",hello@medibuddy.in,NOT_EXPENSE
Re: Payment Related,"Hi Shivamap20, Greetings from MediBuddy! Thank you for connecting with us via our MediBuddy chatbot. We value your interaction and appreciate your engagement. As per our records, your consultation with",hello@medibuddy.in,NOT_EXPENSE
Ticket Received - Payment Related,"Dear Shivamap20, Thank you for writing to MediBuddy! This is with reference to your E-mail in regards to your query. We have received your query and have created a support ticket 12457675 to track your",hello@medibuddy.in,NOT_EXPENSE
Ticket Received - Payment Related,"Dear Shivamap20, Thank you for writing to MediBuddy! This is with reference to your E-mail in regards to your query. We have received your query and have created a support ticket 12451902 to track your",hello@medibuddy.in,NOT_EXPENSE
Credit Transaction Alert,"If you do not wish to receive such e-mail communication in the future, Click here Dear SHIVAM CHAUDHRY, Greetings from SBM Bank India! Your account XX7278 is credited with INR 0.00 on 01-03-2026. Info:",info@sbmbank.co.in,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: IDFC FIRST Bank Credit Card Card: **** Total due: ₹1679 Minimum due: ₹",no-reply@kotak.com,NOT_EXPENSE
Payment of INR 10.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 10.00 towards Ganpati Super Mart through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: HDFC BANK CREDIT CARD Card: **** Total due: ₹1153 Minimum due: ₹ Due date",no-reply@kotak.com,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: HDFC BANK CREDIT CARD Card: **** Total due: ₹1321 Minimum due: ₹ Due date",no-reply@kotak.com,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: Axis Bank Credit Card Card: **** Total due: ₹846 Minimum due: ₹ Due date:",no-reply@kotak.com,NOT_EXPENSE
Your payment of ₹ 202.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹202.0 Seller Zepto Zepto Id Z-AGONVSOMFJZJNCLEA7ZWUANEEU-1 Transaction ID P04-0103835-2514535 Payment date Wednesday, 11 March, 2026",no-reply@amazonpay.in,EXPENSE
Payment of INR 99.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 99.00 towards APPLE MEDIA SERVICES through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
Payment of INR 119.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 119.00 towards APPLE MEDIA SERVICES through the Kotak811 App. More",no-reply@kotak.com,EXPENSE
Your payment of ₹ 301.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹301.0 Seller Zepto Zepto Id Z-AGONA2EUBNZJ3FK5BJQ432UTFY-1 Transaction ID P04-7170907-6228814 Payment date Monday, 09 March, 2026 07:",no-reply@amazonpay.in,EXPENSE
Payment of INR 400.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 400.00 towards ASHOK KUMAR YADAV through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
Payment of INR 150.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 150.00 towards SAURABH YADAV through the Kotak811 App. More details below",no-reply@kotak.com,EXPENSE
Payment of INR 100.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 100.00 towards AAKASH KUMAR AGRAHARI through the Kotak811 App. More",no-reply@kotak.com,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: ICICI Credit card Card: **** Total due: ₹4339.85 Minimum due: ₹ Due date:",no-reply@kotak.com,NOT_EXPENSE
Credit Transaction Alert,"If you do not wish to receive such e-mail communication in the future, Click here Dear SHIVAM CHAUDHRY, Greetings from SBM Bank India! Your account XX7278 is credited with INR 0.00 on 01-03-2026. Info:",info@sbmbank.co.in,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: IDFC FIRST Bank Credit Card Card: **** Total due: ₹1679 Minimum due: ₹",no-reply@kotak.com,NOT_EXPENSE
Payment of INR 10.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 10.00 towards Ganpati Super Mart through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: HDFC BANK CREDIT CARD Card: **** Total due: ₹1153 Minimum due: ₹ Due date",no-reply@kotak.com,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: HDFC BANK CREDIT CARD Card: **** Total due: ₹1321 Minimum due: ₹ Due date",no-reply@kotak.com,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: Axis Bank Credit Card Card: **** Total due: ₹846 Minimum due: ₹ Due date:",no-reply@kotak.com,NOT_EXPENSE
Your payment of ₹ 202.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹202.0 Seller Zepto Zepto Id Z-AGONVSOMFJZJNCLEA7ZWUANEEU-1 Transaction ID P04-0103835-2514535 Payment date Wednesday, 11 March, 2026",no-reply@amazonpay.in,EXPENSE
Payment of INR 99.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 99.00 towards APPLE MEDIA SERVICES through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
Payment of INR 119.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 119.00 towards APPLE MEDIA SERVICES through the Kotak811 App. More",no-reply@kotak.com,EXPENSE
Your payment of ₹ 301.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹301.0 Seller Zepto Zepto Id Z-AGONA2EUBNZJ3FK5BJQ432UTFY-1 Transaction ID P04-7170907-6228814 Payment date Monday, 09 March, 2026 07:",no-reply@amazonpay.in,EXPENSE
Payment of INR 400.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 400.00 towards ASHOK KUMAR YADAV through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
Payment of INR 150.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 150.00 towards SAURABH YADAV through the Kotak811 App. More details below",no-reply@kotak.com,EXPENSE
Payment of INR 100.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 100.00 towards AAKASH KUMAR AGRAHARI through the Kotak811 App. More",no-reply@kotak.com,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: ICICI Credit card Card: **** Total due: ₹4339.85 Minimum due: ₹ Due date:",no-reply@kotak.com,NOT_EXPENSE
Credit Transaction Alert,"If you do not wish to receive such e-mail communication in the future, Click here Dear SHIVAM CHAUDHRY, Greetings from SBM Bank India! Your account XX7278 is credited with INR 0.00 on 01-03-2026. Info:",info@sbmbank.co.in,NOT_EXPENSE
Delivered: 1 item | Order # 171-8412082-7203535,Delivered: 1 item | Order # 171-8412082-7203535͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏,order-update@amazon.in,NOT_EXPENSE
Your payment of ₹ 202.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹202.0 Seller Zepto Zepto Id Z-AGONVSOMFJZJNCLEA7ZWUANEEU-1 Transaction ID P04-0103835-2514535 Payment date Wednesday, 11 March, 2026",no-reply@amazonpay.in,EXPENSE
Your payment of ₹ 301.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹301.0 Seller Zepto Zepto Id Z-AGONA2EUBNZJ3FK5BJQ432UTFY-1 Transaction ID P04-7170907-6228814 Payment date Monday, 09 March, 2026 07:",no-reply@amazonpay.in,EXPENSE
Refund processed for order #7808570916,"Hi Shivam Chaudhry, Your refund of ₹196.35 for your Zomato order #7808570916 has been successfully processed on Feb 24, 2026 and amount should reflect in your account by now. If you haven&#39;t",noreply@zomato.com,NOT_EXPENSE
Your payment of ₹ 23.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹23.0 Seller Zepto Zepto Id Z-AGOIELOQAJYHPI4EP27KWIYK5Q-1 Transaction ID P04-0074172-6861528 Payment date Sunday, 22 February, 2026",no-reply@amazonpay.in,EXPENSE
Your payment of ₹ 150.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹150.0 Seller Zepto Zepto Id Z-AGOIELBKHF4T3GBPTUKU3KEMX4-1 Transaction ID P04-2984738-4830023 Payment date Sunday, 22 February, 2026",no-reply@amazonpay.in,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: HDFC BANK CREDIT CARD Card: **** Total due: ₹1153 Minimum due: ₹ Due date",no-reply@kotak.com,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: HDFC BANK CREDIT CARD Card: **** Total due: ₹1321 Minimum due: ₹ Due date",no-reply@kotak.com,NOT_EXPENSE
"Your credit card bill is due on Mar 20, 2026: Pay now to maintain your credit score","CRED Tuesday, Mar 17, 2026 hi, your credit card payment is due payment due by Mar 20, 2026 ICICI Bank .... xxxx 0007 total due ₹4339.85 Pay now we recommend to pay atleast 2 days before to avoid any",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 20, 2026: Pay now to maintain your credit score","CRED Monday, Mar 16, 2026 hi, your credit card payment is due payment due by Mar 20, 2026 ICICI Bank .... xxxx 0007 total due ₹4339.85 Pay now we recommend to pay atleast 2 days before to avoid any",protect@cred.club,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: IDFC FIRST Bank Credit Card Card: **** Total due: ₹1679 Minimum due: ₹",no-reply@kotak.com,NOT_EXPENSE
"Your credit card bill is due on Mar 20, 2026: Pay now to maintain your credit score","CRED Thursday, Mar 19, 2026 hi, your credit card payment is due payment due by Mar 20, 2026 ICICI Bank .... xxxx 0007 total due ₹4339.85 Pay now we recommend to pay atleast 2 days before to avoid any",protect@cred.club,NOT_EXPENSE
Credit card bill due tomorrow!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, Your ICICI Credit card Credit Card bill is due tomorrow! Total due: ₹4339.85 Minimum due: ₹ Due date: 20-Mar-2026 Pay now",no-reply@kotak.com,NOT_EXPENSE
"Your credit card bill is due on Mar 20, 2026: Pay now to maintain your credit score","CRED Wednesday, Mar 18, 2026 hi, your credit card payment is due payment due by Mar 20, 2026 ICICI Bank .... xxxx 0007 total due ₹4339.85 Pay now we recommend to pay atleast 2 days before to avoid any",protect@cred.club,EXPENSE
"Your credit card bill is due on Mar 20, 2026: Pay now to maintain your credit score","CRED Sunday, Mar 15, 2026 hi, your credit card payment is due payment due by Mar 20, 2026 ICICI Bank .... xxxx 0007 total due ₹4339.85 Pay now we recommend to pay atleast 2 days before to avoid any",protect@cred.club,NOT_EXPENSE
Credit card bill due in 5 days!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, Your ICICI Credit card Credit Card bill is due in 5 days! Total due: ₹4339.85 Minimum due: ₹ Due date: 20-Mar-2026 Pay now",no-reply@kotak.com,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: Axis Bank Credit Card Card: **** Total due: ₹846 Minimum due: ₹ Due date:",no-reply@kotak.com,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Monday, Mar 09, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0472 total due ₹1445 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 13, 2026: Pay now to maintain your credit score","CRED Monday, Mar 09, 2026 hi, your credit card payment is due payment due by Mar 13, 2026 Axis Bank .... xxxx 6592 total due ₹128472.25 Pay now we recommend to pay atleast 2 days before to avoid any",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 13, 2026: Pay now to maintain your credit score","CRED Sunday, Mar 08, 2026 hi, your credit card payment is due payment due by Mar 13, 2026 Axis Bank .... xxxx 6592 total due ₹128472.25 Pay now we recommend to pay atleast 2 days before to avoid any",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Sunday, Mar 08, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0278 total due ₹350 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Sunday, Mar 08, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0472 total due ₹1445 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Saturday, Mar 07, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0278 total due ₹350 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
Credit card bill due tomorrow!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, Your HDFC BANK CREDIT CARD Credit Card bill is due tomorrow! Total due: ₹350 Minimum due: ₹ Due date: 08-Mar-2026 Pay now",no-reply@kotak.com,NOT_EXPENSE
Credit card bill due tomorrow!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, Your HDFC BANK CREDIT CARD Credit Card bill is due tomorrow! Total due: ₹1445 Minimum due: ₹ Due date: 08-Mar-2026 Pay now",no-reply@kotak.com,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Saturday, Mar 07, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0472 total due ₹1445 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Friday, Mar 06, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0472 total due ₹1445 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Friday, Mar 06, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0278 total due ₹350 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Thursday, Mar 05, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0278 total due ₹350 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Thursday, Mar 05, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0472 total due ₹1445 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Wednesday, Mar 04, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0472 total due ₹1445 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Wednesday, Mar 04, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0278 total due ₹350 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 04, 2026: Pay now to maintain your credit score","CRED Wednesday, Mar 04, 2026 hi, your credit card payment is due payment due by Mar 04, 2026 Axis Bank .... xxxx 2789 total due ₹648 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 05, 2026: Pay now to maintain your credit score","CRED Wednesday, Mar 04, 2026 hi, your credit card payment is due payment due by Mar 05, 2026 Axis Bank .... xxxx 0490 total due ₹15145 Pay now we recommend to pay atleast 2 days before to avoid any",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 05, 2026: Pay now to maintain your credit score","CRED Tuesday, Mar 03, 2026 hi, your credit card payment is due payment due by Mar 05, 2026 Axis Bank .... xxxx 0490 total due ₹15145 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Tuesday, Mar 03, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0472 total due ₹1445 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 08, 2026: Pay now to maintain your credit score","CRED Tuesday, Mar 03, 2026 hi, your credit card payment is due payment due by Mar 08, 2026 HDFC Bank .... xxxx 0278 total due ₹350 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 04, 2026: Pay now to maintain your credit score","CRED Tuesday, Mar 03, 2026 hi, your credit card payment is due payment due by Mar 04, 2026 Axis Bank .... xxxx 2789 total due ₹648 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
Credit card bill due in 5 days!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, Your HDFC BANK CREDIT CARD Credit Card bill is due in 5 days! Total due: ₹350 Minimum due: ₹ Due date: 08-Mar-2026 Pay now",no-reply@kotak.com,NOT_EXPENSE
Credit card bill due in 5 days!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, Your HDFC BANK CREDIT CARD Credit Card bill is due in 5 days! Total due: ₹1445 Minimum due: ₹ Due date: 08-Mar-2026 Pay",no-reply@kotak.com,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: ICICI Credit card Card: **** Total due: ₹4339.85 Minimum due: ₹ Due date:",no-reply@kotak.com,NOT_EXPENSE
"Your credit card bill is due on Mar 05, 2026: Pay now to maintain your credit score","CRED Monday, Mar 02, 2026 hi, your credit card payment is due payment due by Mar 05, 2026 Axis Bank .... xxxx 0490 total due ₹15145 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 04, 2026: Pay now to maintain your credit score","CRED Monday, Mar 02, 2026 hi, your credit card payment is due payment due by Mar 04, 2026 Axis Bank .... xxxx 2789 total due ₹648 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 04, 2026: Pay now to maintain your credit score","CRED Sunday, Mar 01, 2026 hi, your credit card payment is due payment due by Mar 04, 2026 Axis Bank .... xxxx 2789 total due ₹648 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
"Your credit card bill is due on Mar 05, 2026: Pay now to maintain your credit score","CRED Sunday, Mar 01, 2026 hi, your credit card payment is due payment due by Mar 05, 2026 Axis Bank .... xxxx 0490 total due ₹15145 Pay now we recommend to pay atleast 2 days before to avoid any late",protect@cred.club,NOT_EXPENSE
Your Zomato order from Pink Adrak,"Hi Shivam Chaudhry, Thank you for ordering from Pink Adrak ORDER ID: 7827115992 Delivered Pink Adrak 1st Floor, Tower A, Capital Business Park, Sohna Road, Gurgaon 1 X Dal Makhani Rice Combo 1 X Tawa",noreply@zomato.com,NOT_EXPENSE
Your Zomato order from Kathi Junction,"Hi Shivam Chaudhry, Thank you for ordering from Kathi Junction ORDER ID: 7820102919 Delivered Kathi Junction CS 57, 2nd Floor, Block-C, Sector 109, Pawala Khusrupur, Khadipur 105, Palam Vihar, Gurgaon",noreply@zomato.com,NOT_EXPENSE
Refund initiated for order #7808570916,"Hi Shivam Chaudhry, We have initiated a refund of ₹196.35 for your Zomato order #7808570916. Please expect the refund to reflect in your account by Feb 24, 2026.You can now track the status of your",noreply@zomato.com,NOT_EXPENSE
Your Zomato order from Burger Singh - Big Punjabi Burgers,"Hi Shivam Chaudhry, Thank you for ordering from Burger Singh - Big Punjabi Burgers ORDER ID: 7808570916 Delivered Burger Singh - Big Punjabi Burgers Shop 82-L, Basement &amp; Ground Floor, New Colony,",noreply@zomato.com,NOT_EXPENSE
Delivered: 1 item | Order # 405-1557174-3784346,Delivered: 1 item | Order # 405-1557174-3784346͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏,order-update@amazon.in,NOT_EXPENSE
Credit transaction alert for Axis Bank A/c,"FD_BANNER 06-02-2026 Dear Shivam Chaudhry, Thank you for banking with us. We wish to inform you that your A/c no. XX9996 has been credited with INR 176953.00 on 06-02-2026 at 17:04:24 IST by NEFT/",alerts@axis.bank.in,NOT_EXPENSE
Transaction alert for your ICICI Bank Credit Card,"Dear Customer, As the service for international online transactions is disabled, your transaction of SGD 1.38 using your ICICI Bank Credit Card XX5001, has been declined on Feb 06, 2026 at 12:48:37. To",s@icicibank.com,NOT_EXPENSE
Delivered: 1 item | Order # 405-8416554-5669917,Delivered: 1 item | Order # 405-8416554-5669917͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏,order-update@amazon.in,NOT_EXPENSE
"Shivam Chaudhry, your tax invoice is now available.","Shivam Chaudhry, download your latest GST tax invoice. Hi Shivam Chaudhry, Your latest tax invoice is ready for download You can now download the latest monthly tax invoice to see a summary of the GST",service@intl.paypal.com,NOT_EXPENSE
