subject,body,sender,label
Referral,ReferralCandy subscription ₹950/month.,billing@referralcandy.com,EXPENSE
Affiliate,Impact subscription ₹8500/month charged.,billing@impact.com,EXPENSE
Finance app,YNAB subscription ₹450/month charged.,billing@ynab.com,EXPENSE
Firewall,Fortinet subscription ₹45000/month.,billing@fortinet.com,EXPENSE
Influencer,AspireIQ subscription ₹12000/month.,billing@aspireiq.com,EXPENSE
Compliance,Secureframe subscription ₹22000/month.,billing@secureframe.com,EXPENSE
Medical insurance,Max Bupa health insurance premium ₹15000 due on April 15. Policy: MB-2024-678.,premium@maxbupa.com,EXPENSE
Recharge successful,Your mobile recharge of ₹599 for 9876543210 is successful.,recharge@jio.com,EXPENSE
Accounting,QuickBooks subscription ₹2100/month charged.,billing@quickbooks.com,EXPENSE
HR software,Zoho People subscription ₹3500/month charged.,billing@zoho.com,EXPENSE
Database AWS,AWS RDS bill $42.00 for March.,billing@aws.amazon.com,EXPENSE
Critical care insurance,Manipal Cigna critical care premium ₹4500 deducted. Policy: CC-2024-890.,premium@manpalcigna.com,EXPENSE
Country Delight,Country Delight monthly milk bill: ₹980 auto-deducted.,billing@countrydelight.in,EXPENSE
Invoice #7890,Please find attached invoice for INR 8500 for web development services completed in March.,billing@webdev.com,EXPENSE
Dividend credited,Dividend of ₹350 per share credited to your bank account.,dividend@in.mpms.mufg.com,EXPENSE
Upstox brokerage deducted,Brokerage of ₹40 has been deducted from your Upstox account for intraday trades on March 22.,noreply@upstox.com,EXPENSE
SEO,Moz Pro subscription ₹6500/month charged.,billing@moz.com,EXPENSE
Cleartrip,Cleartrip booking confirmed. Hotel Park View 2 nights. ₹5800.,bookings@cleartrip.com,EXPENSE
Tax payment receipt,Income tax advance payment of ₹25000 confirmed. Challan: 1234567.,noreply@incometax.gov.in,EXPENSE
Monitoring,Datadog subscription ₹5200/month.,billing@datadoghq.com,EXPENSE
Transaction alert for your ICICI Bank Credit Card,Your ICICI Bank Credit Card ending XX49 has been used for INR 700.00 at an online merchant. If not done by you call 1800-XXX.,credit_cards@icicibank.com,EXPENSE
Performance,WebPageTest subscription ₹950/month charged.,billing@webpagetest.org,EXPENSE
SSL certificate,SSL certificate renewed for ₹1299/year.,billing@godaddy.com,EXPENSE
Identity,Okta subscription ₹2500/user/month.,billing@okta.com,EXPENSE
Business Insider,Business Insider Premium ₹550 charged. Monthly plan renewed.,premium@businessinsider.com,EXPENSE
Audible subscription,Audible audiobook subscription ₹749 charged to card. Monthly plan renewed.,noreply@audible.com,EXPENSE
Mutual fund SIP,Your SIP of ₹5000 in HDFC Equity Fund has been processed. NAV: ₹45.67.,sip@hdfcfund.com,EXPENSE
Credit card outstanding,Your IndusInd Bank credit card outstanding amount: ₹26700. Last date to pay: April 12.,cards@indusind.com,EXPENSE
Pet vaccination,Pet vaccination ₹1200 at Cessna Vet Clinic.,billing@vetclinic.com,EXPENSE
Diagram,Lucidchart subscription ₹1050/user/month.,billing@lucidchart.com,EXPENSE
Family health insurance,Apollo Munich family floater premium ₹25000 due. Policy: FH-2024-567.,premium@apollomunich.com,EXPENSE
Mortgage EMI,LIC home loan EMI ₹42000 auto-debited. Loan: HL-2020-123.,emi@licindia.in,EXPENSE
New credit card statement,Your Federal Bank credit card statement for March is ready. Total outstanding: ₹20600. Due: April 10.,cards@federalbank.co.in,EXPENSE
Street light tax,Annual street light tax: ₹450. Due: March 31.,taxes@municipality.gov.in,EXPENSE
SIEM,CrowdStrike subscription ₹45000/month.,billing@crowdstrike.com,EXPENSE
PaaS,Render subscription ₹2500/month.,billing@render.com,EXPENSE
Gold loan interest,Gold loan interest ₹850 debited. Loan: GL-2024-567.,interest@muthoot.com,EXPENSE
Zomato order receipt,Order delivered! Total paid: ₹420 via Paytm. Restaurant: Pizza Hut.,receipt@zomato.com,EXPENSE
APM,New Relic subscription ₹7200/month.,billing@newrelic.com,EXPENSE
Cloud office,Microsoft 365 Business Premium ₹950/user/month.,billing@microsoft.com,EXPENSE
IDFC card statement,IDFC First credit card: ₹16500. Minimum due: ₹1650. Due: April 5.,statements@idfc.com,EXPENSE
Tata Play,Tata Play DTH recharge ₹400 successful. Pack: Hindi Smart HD.,recharge@tataplay.com,EXPENSE
Analytics,Mixpanel subscription ₹8500/month charged.,billing@mixpanel.com,EXPENSE
IRCTC food order on train,Your IRCTC e-catering order confirmed. Delivery at Kanpur station. Total: ₹350.,ecatering@irctc.co.in,EXPENSE
SBI card dues,SBI credit card dues for card ending 8901: ₹38900. Due date: April 15. Minimum due: ₹3890.,cards@sbi.co.in,EXPENSE
Card transaction - successful,Your Kotak Bank Credit Card ••1949 was charged ₹210.00 at merchant. Available credit limit: ₹48500.,alerts@kotak.com,EXPENSE
Mobile testing,TestFairy subscription ₹2100/month.,billing@testfairy.com,EXPENSE
Amazon Pay balance,You added ₹1000 to Amazon Pay balance from bank account.,amazonpay@amazon.in,EXPENSE
Surfshark,Surfshark VPN subscription ₹650 charged. Annual plan renewed.,billing@surfshark.com,EXPENSE
Electricity bill payment,Your MSEDCL bill of ₹2100 for March is paid. Due date: March 25.,payments@mahadiscom.in,EXPENSE
Wireframing,Balsamiq subscription ₹650/month.,billing@balsamiq.com,EXPENSE
Serverless,AWS Lambda bill $22.50 for March usage.,billing@aws.amazon.com,EXPENSE
Security,WhiteSource subscription ₹25000/month.,billing@whitesourcesoftware.com,EXPENSE
Platform fee,Marketplace platform fee of ₹290 charged to your seller account.,fees@flipkart.com,EXPENSE
Electronics store,Croma purchase ₹7800 for headphones via EMI.,orders@croma.com,EXPENSE
VPN service,NordVPN subscription ₹850/year charged.,billing@nordvpn.com,EXPENSE
Whiteboard,Mural subscription ₹950/user/month.,billing@mural.co,EXPENSE
MFA,Duo Security subscription ₹8500/month.,billing@duo.com,EXPENSE
PaaS,AWS Elastic Beanstalk bill $35.00.,billing@aws.amazon.com,EXPENSE
HSBC card dues,HSBC credit card dues: ₹20800. Payment due: April 18.,cards@hsbc.co.in,EXPENSE
Logging,Splunk subscription ₹45000/month.,billing@splunk.com,EXPENSE
Prototyping,InVision subscription ₹850/month.,billing@invisionapp.com,EXPENSE
Legal software,DocuSign subscription ₹2500/month charged.,billing@docusign.com,EXPENSE
Monitoring,Grafana Cloud subscription ₹8500/month.,billing@grafana.com,EXPENSE
Unacademy subscription,Your Unacademy Plus subscription renewed. ₹1166/month charged.,billing@unacademy.com,EXPENSE
Uber ride receipt,Uber ride complete. Fare: ₹180. Payment via Paytm. Ride ID: RIDE123456.,receipts@uber.com,EXPENSE
FreshToHome,FreshToHome order worth ₹590 shipped. Delivery tomorrow.,orders@freshtohome.com,EXPENSE
Card online transaction- Successful,Transaction of INR 553.32 successful on your Kotak debit card at online merchant. Ref: 456789.,alerts@kotak.com,EXPENSE
Tata Play DTH recharge,Your Tata Play DTH recharge of ₹400 is successful. Pack: Hindi Smart HD.,recharge@tataplay.com,EXPENSE
Credit card period bill,Your Yes Bank credit card statement for billing period Feb 20 - Mar 19 is now available. Total: ₹17350.,yescreditcards@yesbank.in,EXPENSE
SBI card,INR 2800 spent on SBI credit card at Croma. Limit: ₹47000.,alerts@sbi.co.in,EXPENSE
Moz Pro,Moz Pro subscription ₹6500 charged. Monthly plan renewed.,billing@moz.com,EXPENSE
Domain name,Domain newdomain.com registered for ₹799 for 1 year.,billing@namecheap.com,EXPENSE
Serverless,Cloudflare Workers subscription ₹850/month.,billing@cloudflare.com,EXPENSE
Business loan payment,Business loan EMI ₹47000 paid. Loan: BL-2024-678.,business@icicibank.com,EXPENSE
Password manager,1Password subscription ₹280/month charged.,billing@1password.com,EXPENSE
Kotak card bill,Kotak811 credit card statement for March: ₹22300. Total amount due. Minimum: ₹2230.,statements@kotak.com,EXPENSE
Amazon Fresh,Amazon Fresh grocery delivered. Total: ₹890 via Amazon Pay.,fresh@amazon.in,EXPENSE
Design handoff,Zeplin subscription ₹650/month.,billing@zeplin.com,EXPENSE
Email marketing,Campaign Monitor subscription ₹1200/month.,billing@campaignmonitor.com,EXPENSE
Monthly bill alert,Your Union Bank credit card monthly bill of ₹23400 is generated. Pay by April 15 to avoid interest.,alerts@unionbankofindia.com,EXPENSE
Card statement available,Your Canara Bank credit card statement for March is now available. Total due: ₹21200.,statements@canarabank.in,EXPENSE
Database,Supabase subscription $25/month.,billing@supabase.com,EXPENSE
SEO,Ahrefs subscription ₹9500/month charged.,billing@ahrefs.com,EXPENSE
SIP installment debited,Your SIP installment of ₹3000 for Axis Bluechip Fund has been debited from your account.,sip@axismf.com,EXPENSE
School fee payment,Tuition fee of ₹3500 for April received. Student: Amit Sharma.,fees@davschool.edu,EXPENSE
Security,Snyk Enterprise subscription ₹35000/month.,billing@snyk.io,EXPENSE
Byju's subscription renewal,Your Byju's learning subscription has been renewed. Monthly charge: ₹1999.,billing@byjus.com,EXPENSE
Database tool,DataGrip subscription ₹950/month charged.,billing@jetbrains.com,EXPENSE
VPN service,NordVPN subscription ₹950/year charged.,billing@nordvpn.com,EXPENSE
Cloud storage,Google Cloud storage bill $18.50 for March.,billing@google.com,EXPENSE
DTH bill ready,Tata Play DTH bill for March: ₹450. Due: April 10. Pack: Hindi Smart HD.,billing@tataplay.com,EXPENSE
Version control,GitHub Enterprise subscription $25/user/month.,billing@github.com,EXPENSE
Boat warranty,Extended warranty for Boat Airdopes. ₹249 via card.,orders@boat-lifestyle.com,EXPENSE
Project management,Asana Premium subscription ₹520/month charged.,billing@asana.com,EXPENSE
Citi card statement,Citi credit card statement ready. Total charges: ₹31200. Payment due: April 10.,citicards@citi.com,EXPENSE
Trello Gold,Trello Gold subscription ₹350 charged. Annual plan renewed.,billing@trello.com,EXPENSE
API mgmt,Postman subscription ₹950/user/month.,billing@postman.com,EXPENSE
PhonePe UPI payment,You paid ₹450 to Dominos Pizza via PhonePe UPI. Ref: UPI20260322.,noreply@phonepe.com,EXPENSE
HealthifyMe,HealthifyMe Pro subscription renewed. ₹349/month.,billing@healthifyme.com,EXPENSE
BOB card reminder,Bank of Baroda credit card: ₹21500 due on April 10. Pay now.,reminders@bankofbaroda.com,EXPENSE
SSL certificate,SSL certificate renewed for ₹1399/year.,billing@godaddy.com,EXPENSE
Push notifications,OneSignal subscription ₹1050/month.,billing@onesignal.com,EXPENSE
Coursera Plus,Coursera Plus subscription ₹3500 charged. Annual plan active.,billing@coursera.com,EXPENSE
Insurance premium,Term life insurance premium ₹9500 auto-debited. Policy: LI-2024-890.,premium@licindia.in,EXPENSE
Marketing automation,HubSpot subscription ₹12000/month charged.,billing@hubspot.com,EXPENSE
Cashback received,Congratulations! ₹150 cashback credited to your PhonePe wallet for your recent purchase.,cashback@phonepe.com,EXPENSE
Amazon Fresh order,Your Amazon Fresh grocery order has been delivered. Total: ₹650. Paid via Amazon Pay balance.,fresh@amazon.in,EXPENSE
Petrol pump,Fuel purchase at IOCL pump: 15 litres ₹1650 via card.,receipt@iocl.com,EXPENSE
Food delivery,Your Dunzo order delivered. Total: ₹220 paid via UPI.,orders@dunzo.com,EXPENSE
Bike service,Royal Enfield service center bill: ₹2800 for 10000km service.,service@royalenfield.com,EXPENSE
IndusInd card bill,IndusInd Bank credit card: ₹25600. Due date: April 5.,bills@indusind.com,EXPENSE
AU Bank card dues,AU Small Finance Bank credit card: ₹13400. Due: March 31. Minimum: ₹1340.,reminders@aubank.com,EXPENSE
Performance,Lattice subscription ₹3200/month charged.,billing@lattice.com,EXPENSE
Video editing,Adobe Premiere Pro subscription ₹2200/month charged.,billing@adobe.com,EXPENSE
Payment received on your ICICI Bank Credit Card,We have received a payment of ₹4339.85 on your ICICI Bank Credit Card ending XX49. Thank you.,credit_cards@icicibank.com,EXPENSE
LPG booking,Indane LPG cylinder booking confirmed. ₹903. Booking: HP987654.,noreply@indianoil.in,EXPENSE
Netflix subscription renewed,Your Netflix Premium subscription has been renewed. ₹649 charged to HDFC card 4567. Valid until May 2026.,no-reply@netflix.com,EXPENSE
Learning,Coursera for Business ₹950/user/month.,billing@coursera.com,EXPENSE
Recruitment,Greenhouse subscription ₹9500/month.,billing@greenhouse.io,EXPENSE
Bill generation alert,Your Citi credit card statement for period March 1-31 is generated. Total charges: ₹28900.,citicards@citi.com,EXPENSE
SMS,Twilio subscription ₹2500/month charged.,billing@twilio.com,EXPENSE
Cloud storage,Google Cloud storage bill $15.50 for March.,billing@google.com,EXPENSE
Live chat,LiveChat subscription ₹1200/month charged.,billing@livechat.com,EXPENSE
Debit alert,Your HDFC savings account debited ₹25000 via NEFT. Balance: ₹45000.,alerts@hdfcbank.com,EXPENSE
Park+,Parking fee ₹75 via Park+ at Select Citywalk mall.,payments@parkplus.io,EXPENSE
Personal loan due,Personal loan installment ₹20500 due on April 8. Loan: PFL-2024-890.,due@bajajfinserv.in,EXPENSE
Hootsuite,Hootsuite Professional ₹3200 charged. Monthly plan active.,billing@hootsuite.com,EXPENSE
Ola cab ride,Ola ride fare: ₹150 paid via Ola Money. Ride ID: OLA987654.,noreply@ola.com,EXPENSE
Design,Skillshare subscription ₹350/user/month.,billing@skillshare.com,EXPENSE
Cloud office,Microsoft 365 Business Premium ₹850/user/month.,billing@microsoft.com,EXPENSE
ZTNA,Tailscale Business subscription ₹8500/month.,billing@tailscale.com,EXPENSE
Corporate card expense,Corporate card transaction: ₹1800 at Petrol pump on March 24.,corporate@hdfcbank.com,EXPENSE
Accounting,Xero subscription ₹1200/month charged.,billing@xero.com,EXPENSE
FirstCry order,FirstCry order #FC567 for baby products confirmed. ₹899.,orders@firstcry.com,EXPENSE
Threat intel,Recorded Future subscription ₹45000/month.,billing@recordedfuture.com,EXPENSE
The Hindu,The Hindu digital subscription ₹999 charged. Annual plan active.,subscription@thehindu.com,EXPENSE
Software license,Microsoft Office 365 annual subscription ₹6299 renewed.,billing@microsoft.com,EXPENSE
Chai Point,Chai Point order delivered. Total: ₹150 via Paytm.,orders@chaipoint.com,EXPENSE
Identity,Auth0 subscription ₹4500/month.,billing@auth0.com,EXPENSE
ZTNA,Cloudflare Access subscription ₹2500/month.,billing@cloudflare.com,EXPENSE
EDR,Cylance subscription ₹28000/month.,billing@cylance.com,EXPENSE
PaaS,Railway subscription ₹1800/month.,billing@railway.app,EXPENSE
Education loan EMI,SBI education loan EMI ₹12000 deducted. Loan: ED-2022-789.,emi@sbi.co.in,EXPENSE
1mg order,1mg medicine order placed. Total: ₹380. COD selected.,orders@1mg.com,EXPENSE
Co-working invoice,Invoice for WeWork desk booking. March: ₹7500. GST included.,billing@wework.com,EXPENSE
Backend,Firebase Spark plan free tier usage exceeded.,billing@firebase.com,EXPENSE
Testing,BrowserStack subscription ₹4500/month.,billing@browserstack.com,EXPENSE
Meesho order confirmed,Your Meesho order for 3 items is confirmed. Total: ₹650. Prepaid via UPI.,orders@meesho.com,EXPENSE
CI/CD,Buildkite subscription ₹6500/month.,billing@buildkite.com,EXPENSE
Analytics tool,Google Analytics 360 subscription ₹15000/month.,billing@analytics.com,EXPENSE
Diagram,Lucidchart subscription ₹950/user/month.,billing@lucidchart.com,EXPENSE
Learning,Coursera for Business ₹850/user/month.,billing@coursera.com,EXPENSE
Investment,Robinhood Gold subscription ₹350/month charged.,billing@robinhood.com,EXPENSE
Penetration testing,Cobalt subscription ₹18000/month.,billing@cobalt.io,EXPENSE
API gateway,Kong Enterprise subscription ₹45000/month.,billing@konghq.com,EXPENSE
Apollo 247,Teleconsultation payment ₹350 for Dr. Patel on Apollo 247.,billing@apollo247.com,EXPENSE
Udemy,Udemy course 'Machine Learning A-Z' ₹1299 purchased. Lifetime access.,noreply@udemy.com,EXPENSE
Project management,Asana Premium subscription ₹450/month charged.,billing@asana.com,EXPENSE
Water bill ready,Delhi Jal Board water bill of ₹425 is ready. Consumer no: 987654321. Due: April 5.,payments@djb.gov.in,EXPENSE
Car insurance premium,Your car insurance premium of ₹14500 is due on April 5. Policy: CAR-2024-123.,renewal@bhartiaxa.com,EXPENSE
Antivirus,Symantec Endpoint subscription ₹25000/month.,billing@symantec.com,EXPENSE
Nykaa shipped,Nykaa order #NK890 worth ₹980 shipped. COD: ₹980.,orders@nykaa.com,EXPENSE
Card bill summary,Your Standard Chartered credit card bill for March: ₹22150. Payment due: March 30.,cards@sc.com,EXPENSE
WazirX,Bought 0.003 BTC for ₹15000 on WazirX. Fee: ₹45.,noreply@wazirx.com,EXPENSE
Skillshare,Skillshare subscription ₹420 charged. Annual plan active.,billing@skillshare.com,EXPENSE
Security scan,Snyk subscription ₹3800/month.,billing@snyk.io,EXPENSE
Auto debit,Automatic payment of $8.99 processed for Netflix subscription.,no-reply@netflix.com,EXPENSE
ICICI SIP,ICICI Prudential SIP of ₹4000 processed successfully.,sip@icicipru.com,EXPENSE
Monitoring,Datadog subscription ₹4500/month charged.,billing@datadoghq.com,EXPENSE
Storage AWS,AWS S3 bill $18.00 for March storage.,billing@aws.amazon.com,EXPENSE
Life insurance premium,LIC term insurance premium of ₹18500 auto-debited. Policy: LI-2024-123.,premium@licindia.in,EXPENSE
Design tool,Canva Pro subscription ₹499/month charged.,billing@canva.com,EXPENSE
Testing,BrowserStack subscription ₹4200/month charged.,billing@browserstack.com,EXPENSE
Identity,JumpCloud subscription ₹2500/month.,billing@jumpcloud.com,EXPENSE
Chatbot,Intercom subscription ₹4500/month charged.,billing@intercom.com,EXPENSE
Swiggy Instamart order,Your grocery order from Swiggy Instamart. Total: ₹540. Paid via UPI.,noreply@swiggy.com,EXPENSE
Help desk,Zendesk subscription ₹4100/month.,billing@zendesk.com,EXPENSE
Property tax bill,Municipal property tax for FY 2026-27: ₹12500. Due: March 31. Pay online.,receipts@mcgm.gov.in,EXPENSE
Photo editing,Adobe Lightroom subscription ₹950/month charged.,billing@adobe.com,EXPENSE
Stock photos,Shutterstock subscription ₹999/month charged.,billing@shutterstock.com,EXPENSE
Broadband bill,BSNL broadband bill: ₹899 for March. Due: April 15.,payments@bsnl.co.in,EXPENSE
Development,Pluralsight subscription ₹1350/user/month.,billing@pluralsight.com,EXPENSE
Cloud IDE,Gitpod subscription ₹950/user/month.,billing@gitpod.io,EXPENSE
Mobile bill,Jio postpaid bill: ₹599 for March. Due: April 8. Payment received via autopay.,recharge@jio.com,EXPENSE
CASB,McAfee MVISION subscription ₹32000/month.,billing@mcafee.com,EXPENSE
Groww SIP,Groww SIP of ₹3000 in Parag Parikh Flexi Cap processed.,noreply@groww.in,EXPENSE
Home loan EMI processed,Your HDFC home loan EMI of ₹28000 has been deducted for March. Outstanding: ₹18.5L.,homeloan@hdfc.com,EXPENSE
Secrets mgmt,HashiCorp Vault subscription ₹15000/month.,billing@hashicorp.com,EXPENSE
Books,Scribd subscription ₹420/month.,billing@scribd.com,EXPENSE
TDS deducted on FD interest,TDS of ₹1500 has been deducted on your Fixed Deposit interest for Q4 FY26.,tds@sbi.co.in,EXPENSE
Credit card payment reminder,Payment reminder: Your Axis Bank credit card bill of ₹15600 is due on March 28. Pay now to avoid late fees.,reminders@axisbank.com,EXPENSE
Trading account,Payment of ₹10000 received for Kotak trading account.,noreply@kotaksecurities.com,EXPENSE
Container registry,Docker Hub Pro subscription $6/month charged.,billing@docker.com,EXPENSE
Swiggy Genie delivery,Your Swiggy Genie package delivery completed. Charges: ₹69. Paid via Swiggy wallet.,noreply@swiggy.com,EXPENSE
Udaan wholesale order,Your Udaan wholesale order for office supplies shipped. Total: ₹8900. Net 30 payment.,orders@udaan.com,EXPENSE
JioSaavn,JioSaavn Pro subscription ₹399/year renewed.,billing@jiosaavn.com,EXPENSE
Audiobooks,Audible subscription ₹720/month.,billing@audible.com,EXPENSE
Paytm Postpaid,Paytm Postpaid bill ₹1800 due April 5. Pay now.,billing@paytm.com,EXPENSE
EMI payment successful,Your car loan EMI of ₹23000 has been paid successfully. Loan: CL-2024-123.,payments@bank.com,EXPENSE
Home insurance,Bajaj Allianz home insurance premium ₹6500 due on April 10. Policy: HI-2024-567.,premium@bajajallianz.com,EXPENSE
Medical bill payment,Apollo Pharmacy order #7890. Total: ₹560. Payment received via UPI.,billing@apollo.com,EXPENSE
Credit card payment due,Your ICICI credit card payment of ₹34500 is due on April 12. Minimum due: ₹3450.,payments@icicibank.com,EXPENSE
BSNL landline,BSNL landline bill ₹550 for March ready. Due: April 10.,billing@bsnl.co.in,EXPENSE
Analytics,Amplitude subscription ₹6500/month charged.,billing@amplitude.com,EXPENSE
Pet vaccination charges,Payment of ₹1500 for your pet's annual vaccination at Cessna Lifeline Vet Clinic.,billing@vetclinic.com,EXPENSE
Medical bill receipt,Apollo Pharmacy order #5678. Total amount: ₹890. Payment received.,pharmacy@apollo.com,EXPENSE
Axis auto-debit,Auto-debit of ₹4500 processed for loan EMI.,alerts@axisbank.com,EXPENSE
Eye checkup bill,Payment of ₹800 received for your eye examination at Lenskart Vision Care.,billing@lenskart.com,EXPENSE
Kotak trade confirmation,Trade executed: Bought 10 shares of Reliance at ₹2450. Total value: ₹24500. Brokerage: ₹20.,trades@kotaksecurities.com,EXPENSE
Spotify subscription renewed,Your Spotify Premium subscription has been renewed. ₹119/month charged to your card.,no-reply@spotify.com,EXPENSE
SASE,Cisco SASE subscription ₹45000/month.,billing@cisco.com,EXPENSE
CI/CD,CircleCI subscription ₹8500/month.,billing@circleci.com,EXPENSE
Practo payment,Payment of ₹350 for online consultation with Dr. Sharma.,noreply@practo.com,EXPENSE
Clothing store,H&M purchase ₹1899 paid via credit card.,orders@hm.com,EXPENSE
Zerodha debit,Zerodha trading account debited ₹5000 for equity purchase.,noreply@zerodha.com,EXPENSE
Apple subscription renewed,Your iCloud+ 50GB plan has been renewed. Amount charged: ₹75.00 to your card.,no_reply@email.apple.com,EXPENSE
Email security,Mimecast subscription ₹25000/month.,billing@mimecast.com,EXPENSE
Amazon Prime renewal,Amazon Prime annual membership renewed. ₹1499 charged to ICICI card. Valid until March 2027.,prime@amazon.in,EXPENSE
Presentations,Google Slides workspace subscription ₹1200/month.,billing@google.com,EXPENSE
Social listening,Brandwatch subscription ₹35000/month.,billing@brandwatch.com,EXPENSE
PhonePe payment,Paid ₹280 to Swiggy via PhonePe UPI. Ref: UPI2026032501.,noreply@phonepe.com,EXPENSE
CI/CD,Travis CI subscription ₹6500/month.,billing@travis-ci.com,EXPENSE
Rapido ride,Rapido bike ride complete. Fare: ₹35 paid via UPI.,noreply@rapido.bike,EXPENSE
Domain renewal,Your domain mywebsite.com renewed for 1 year. ₹599 charged.,billing@godaddy.com,EXPENSE
Serverless,AWS Lambda bill $28.50 for March usage.,billing@aws.amazon.com,EXPENSE
